komoditas,opt,Provinsi,kab_kota,tahun,triwulan,luas_komoditas,serangan_ringan,serangan_berat,total_serangan,Luas Pengendalian APBN (Ha),Luas Pengendalian APBD I (Ha),Luas Pengendalian APBD II (Ha),Luas Pengendalian Swadaya (Ha),total_pengendalian,cara_pengendalian,provinsi_folder,file_asal,provinsi,tmax_rata,tmin_rata,suhu_rata,hujan_total,gdd_total_triwulan,jumlah_hari,gdd_akumulasi_tahunan,tbase,gdd_kuning,gdd_merah,intervensi_hijau,intervensi_kuning,intervensi_merah,gdd_triwulan_final,gdd_akumulasi_final,status,intervensi
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,2025,4,3133.51,83.0,30.0,113.0,0.0,0.0,0.0,456.0,456.0,herbisida,Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,,,,,,,,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,2025,4,9685.85,792.24,353.64,1145.88,0.0,0.0,0.0,305.0,305.0,"Sanitasi, Kimiawi",Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,,,,,,,,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,2025,4,3039.8,67.5,18.8,86.3,0.0,0.0,0.0,9.0,9.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,,,,,,,,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,2025,4,17160.0,700.0,20.0,720.0,0.0,0.0,0.0,153.0,153.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,,,,,,,,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,2019,1,11707.42,524.9,119.7,644.6,0.0,0.0,0.0,18.0,18.0,Kimiawi,Bangka Belitung,Data serangan OPT 2019.xlsx,Bangka Belitung,32.34,23.68,28.01,502.96,1620.94,90.0,1620.94,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),KEPULAUAN BANGKA BELITUNG,BANGKA,2019,1,24410.12,6.8,0.0,6.8,0.0,0.0,0.0,0.0,0.0,,Bangka Belitung,Data serangan OPT 2019.xlsx,Bangka Belitung,32.34,23.68,28.01,502.96,1620.94,90.0,1620.94,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,2019,1,18127.5,603.0,171.0,774.0,0.0,0.0,0.0,235.0,235.0,Kimiawi,Bangka Belitung,Data serangan OPT 2019.xlsx,Bangka Belitung,32.34,23.68,28.01,502.96,1620.94,90.0,1620.94,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,2019,1,7650.82,48.99,26.48,75.47,0.0,0.0,0.0,18.75,18.75,Kimiawi,Bangka Belitung,Data serangan OPT 2019.xlsx,Bangka Belitung,32.34,23.68,28.01,502.96,1620.94,90.0,1620.94,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),KEPULAUAN BANGKA BELITUNG,BELITUNG,2019,1,3798.7,0.0,30.6,30.6,0.0,0.0,0.0,0.0,0.0,Kimiawi,Bangka Belitung,Data serangan OPT 2019.xlsx,Bangka Belitung,32.34,23.68,28.01,502.96,1620.94,90.0,1620.94,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Jamur Akar Putih/JAP (Rigidoporus lignosus),KEPULAUAN BANGKA BELITUNG,BANGKA,2019,3,24410.12,6.71,0.0,6.71,0.0,0.0,0.0,0.0,0.0,Kimiawi,Bangka Belitung,Data serangan OPT 2019.xlsx,Bangka Belitung,31.8,24.15,27.98,107.56,1653.75,92.0,4887.16,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
